"country_code","state_code","name","postcode"
"AU","SA","Walkerville","5081"
"AU","VIC","Quambatook","3540"
"AU","NSW","Clybucca","2440"
"AU","NSW","Bow Bowing","2566"
"AU","SA","Leasingham","5452"
"AU","NSW","Cookamidgera","2870"
"AU","NSW","Wattle Grove","2173"
"AU","NSW","East Roseville","2069"
"AU","ACT","Kaleen","2617"
"AU","VIC","Nowa Nowa","3887"
"AU","VIC","Dattuk","3396"
"AU","TAS","Waratah","7321"
"AU","WA","Kenwick","6107"
"AU","WA","Wagga Wagga","6635"
"AU","NSW","Birrego","2700"
"AU","WA","Parkwood","6148"
"AU","TAS","Rhyndaston","7120"
"AU","NSW","Barrington","2422"
"AU","QLD","Tumoulin","4872"
"AU","SA","West Woodville","5011"
"AU","NSW","South Golden Beach","2483"
"AU","TAS","Zeehan","7469"
"AU","TAS","Natone","7321"
"AU","VIC","Footscray West","3012"
"AU","NSW","Grose Vale","2753"
"AU","NSW","Dry Plain","2630"
"AU","NSW","Walgett","2832"
"AU","NSW","Kempsey East","2440"
"AU","VIC","Mannibadar","3360"
"AU","SA","Melrose","5483"
"AU","VIC","Balwyn","3103"
"AU","WA","South Hedland","6722"
"AU","QLD","Gumdale","4154"
"AU","QLD","Shailer Park","4128"
"AU","WA","Alexander Heights","6064"
"AU","NSW","Sawpit Creek","2627"
"AU","TAS","Waverley","7250"
"AU","SA","Warooka","5577"
"AU","NT","Lajamanu","0852"
"AU","QLD","Mount Coot-Tha","4066"
"AU","NSW","Canada Bay","2046"
"AU","WA","Gutha","6623"
"NZ","SI","Wanaka",""
"AU","QLD","Acland","4352"
"AU","NSW","Piallaway","2342"
"AU","VIC","Fairley","3579"
"AU","TAS","Myalla","7325"
"AU","NSW","Chakola","2630"
"AU","QLD","Dakabin","4503"
"AU","VIC","Emu","3475"
"AU","VIC","Kimbolton","3551"
"AU","QLD","Mooroobool","4870"
"AU","TAS","Taroona","7053"
"AU","NSW","Ravensworth","2330"
"AU","NSW","Glenlee","2560"
"AU","NSW","Pipers Bay","2428"
"AU","WA","Murdoch","6150"
"AU","VIC","Springbank","3352"
"AU","NSW","Oaklands","2646"
"AU","VIC","Tunart","3496"
"AU","WA","Collingwood Heights","6330"
